id MET1 MET2    m1%    m2%  cpu1  cpu2  McNemar Sgn    binom Sgn FFn00 TFn10 FTn01 TTn11  win
18 CDTW SAGA 0.7356 0.8311     0     1 33.14220   1  0.00000  -1    86    66   152   596 SAGA
19 NONE  DTW 0.5000 0.5000     0     2  0.50000   0  1.50000   0    14     1     1    14 ----
19 NONE CDTW 0.5000 0.5000     0     1      Inf   0  2.00000   0    15     0     0    15 ----
19 NONE SAGA 0.5000 0.5000     0     2  0.50000   0  1.50000   0    14     1     1    14 ----
19  DTW CDTW 0.5000 0.5000     2     1  0.50000   0  1.50000   0    14     1     1    14 ----
19  DTW SAGA 0.5000 0.5000     2     2  0.25000   0  1.37500   0    13     2     2    13 ----
19 CDTW SAGA 0.5000 0.5000     1     2  0.50000   0  1.50000   0    14     1     1    14 ----
20 NONE  DTW 0.8400 0.5714     2    64 41.89091   1  0.00000  -1    24    51     4    96 NONE
20 NONE CDTW 0.8400 0.6171     2    25 31.37255   1  0.00000  -1    22    45     6   102 NONE
20 NONE SAGA 0.8400 0.4800     2    96 56.10959   1  0.00000  -1    23    68     5    79 NONE
20  DTW CDTW 0.5714 0.6171    64    25  3.50000   0  0.05737   0    64     3    11    97 CDTW
20  DTW SAGA 0.5714 0.4800    64    96  5.35185   1  0.00000  -1    56    35    19    65  DTW
20 CDTW SAGA 0.6171 0.4800    25    96 10.77586   1  0.00000  -1    50    41    17    67 CDTW
21 NONE  DTW 0.4463 0.3636     2    75  5.51250   1  0.00000  -1   104    50    30    58 NONE
21 NONE CDTW 0.4463 0.3017     2    32 14.24176   1  0.00000  -1   106    63    28    45 NONE
21 NONE SAGA 0.4463 0.3223     2   117  9.42157   1  0.00000  -1    98    66    36    42 NONE
21  DTW CDTW 0.3636 0.3017    75    32  4.65455   1  0.00000  -1   134    35    20    53  DTW
21  DTW SAGA 0.3636 0.3223    75   117  1.47561   0  0.00000  -1   118    46    36    42  DTW
21 CDTW SAGA 0.3017 0.3223    32   117  0.22535   0  0.00000  -1   131    33    38    40 SAGA
22 NONE  DTW 0.1724 0.0611     9   142 94.70520   1  0.00000  -1   384   150    23    81 NONE
22 NONE CDTW 0.1724 0.1395     9    92 121.72024   1  0.00000  -1   394   155    13    76 NONE
22 NONE SAGA 0.1724 0.0408     9   299 124.84076   1  0.00000  -1   398   148     9    83 NONE
22  DTW CDTW 0.0611 0.1395   142    92  2.94253   0  0.00000  -1   498    51    36    53  DTW
22  DTW SAGA 0.0611 0.0408   142   299  1.83696   0  0.00000  -1   494    52    40    52  DTW
22 CDTW SAGA 0.1395 0.0408    92   299  0.05970   0  0.00000  -1   514    32    35    57 SAGA
23 NONE  DTW 0.4282 0.3385     8   210 10.53659   1  0.00000  -1   179    79    44    88 NONE
23 NONE CDTW 0.4282 0.3385     8   112 10.36800   1  0.00000  -1   178    80    45    87 NONE
23 NONE SAGA 0.4282 0.3128     8   390 20.54369   1  0.00000  -1   194    74    29    93 NONE
23  DTW CDTW 0.3385 0.3385   210   112  0.01190   0  0.00000  -1   216    42    42    90 ----
23  DTW SAGA 0.3385 0.3128   210   390  1.08036   0  0.00000  -1   207    61    51    71  DTW
23 CDTW SAGA 0.3385 0.3128   112   390  1.26042   0  0.00000  -1   215    53    43    79 CDTW
24 NONE  DTW 0.7340 0.3248    18   162 86.40000   1  0.00000  -1    90   121    14   166 NONE
24 NONE CDTW 0.7340 0.2916    18   129 87.36029   1  0.00000  -1    90   122    14   165 NONE
24 NONE SAGA 0.7340 0.2327    18   343 106.54225   1  0.00000  -1    94   132    10   155 NONE
24  DTW CDTW 0.3248 0.2916   162   129  0.09756   0  0.00000  -1   191    21    20   159  DTW
24  DTW SAGA 0.3248 0.2327   162   343  2.22609   0  0.00000  -1   161    65    50   115  DTW
24 CDTW SAGA 0.2916 0.2327   129   343  2.12264   0  0.00000  -1   166    60    46   119 CDTW
25 NONE  DTW 0.1013 0.1987    14   159 107.55741   1  0.00000  -1   219   390   150     1 NONE
25 NONE CDTW 0.1013 0.2263    14   146 91.14878   1  0.00000  -1   213   375   156    16 NONE
25 NONE SAGA 0.1013 0.0684    14   429 73.50000   1  0.00000  -1   295   220    74   171 NONE
25  DTW CDTW 0.1987 0.2263   159   146  6.55738   1  0.00000  -1   568    20    41   131 CDTW
25  DTW SAGA 0.1987 0.0684   159   429 29.41837   1  0.00000  -1   415   100   194    51 SAGA
25 CDTW SAGA 0.2263 0.0684   146   429 18.71480   1  0.00000  -1   413   102   175    70 SAGA
26 NONE  DTW 0.8304 0.5712    20   194 116.53070   1  0.00000  -1    73   195    33   324 NONE
26 NONE CDTW 0.8304 0.7056    20   135 41.60667   1  0.00000  -1    70   114    36   405 NONE
26 NONE SAGA 0.8304 0.5392    20   376 141.90254   1  0.00000  -1    79   209    27   310 NONE
